time_s,load_N,stress_MPa
0.600000,380.492144,114.147643
0.605000,336.004040,100.801212
0.610000,303.152017,90.945605
0.615000,281.910651,84.573195
0.620000,245.386542,73.615963
0.625000,228.479364,68.543809
0.630000,205.853790,61.756137
0.635000,196.705616,59.011685
0.640000,163.560054,49.068016
0.645000,164.492802,49.347841
0.650000,137.949340,41.384802
0.655000,120.649145,36.194744
0.660000,107.763221,32.328966
0.665000,111.655843,33.496753
0.670000,93.145449,27.943635
0.675000,80.998257,24.299477
0.680000,86.095307,25.828592
0.685000,65.470238,19.641072
0.690000,63.032266,18.909680
0.695000,62.660184,18.798055
0.700000,70.974557,21.292367
0.705000,75.429110,22.628733
0.710000,90.587316,27.176195
0.715000,86.595131,25.978539
0.720000,118.433028,35.529908
0.725000,137.196784,41.159035
0.730000,172.700968,51.810290
0.735000,200.755641,60.226692
0.740000,229.512338,68.853701
0.745000,241.706328,72.511899
0.750000,263.706012,79.111804
0.755000,281.280615,84.384185
0.760000,303.004328,90.901298
0.765000,330.197672,99.059301
0.770000,344.648366,103.394510
0.775000,364.011165,109.203349
0.780000,396.651130,118.995339
0.785000,411.584829,123.475449
0.790000,420.411976,126.123593
0.795000,446.325973,133.897792
0.800000,473.361143,142.008343
0.805000,454.808330,136.442499
0.810000,461.712967,138.513890
0.815000,465.133698,139.540109
0.820000,445.232785,133.569836
0.825000,433.630967,130.089290
0.830000,435.842153,130.752646
0.835000,425.983814,127.795144
0.840000,410.249923,123.074977
0.845000,410.763584,123.229075
0.850000,381.187224,114.356167
0.855000,358.984383,107.695315
0.860000,326.769436,98.030831
0.865000,299.110026,89.733008
0.870000,281.411889,84.423567
0.875000,256.519363,76.955809
0.880000,234.835338,70.450601
0.885000,218.655105,65.596532
0.890000,200.852559,60.255768
0.895000,163.252921,48.975876
0.900000,151.007644,45.302293
0.905000,126.759856,38.027957
0.910000,108.467807,32.540342
0.915000,97.243661,29.173098
0.920000,98.440913,29.532274
0.925000,89.409253,26.822776
0.930000,88.439154,26.531746
0.935000,81.784060,24.535218
0.940000,70.329896,21.098969
0.945000,71.430879,21.429264
0.950000,79.723006,23.916902
0.955000,84.530518,25.359155
0.960000,105.211693,31.563508
0.965000,137.009275,41.102783
0.970000,152.972758,45.891827
0.975000,171.671331,51.501399
0.980000,190.054803,57.016441
0.985000,220.251517,66.075455
0.990000,227.590110,68.277033
0.995000,252.171502,75.651451
1.000000,273.474121,82.042236
1.005000,308.820109,92.646033
1.010000,336.039063,100.811719
1.015000,381.399571,114.419871
1.020000,387.685422,116.305627
1.025000,391.036129,117.310839
1.030000,409.529909,122.858973
1.035000,403.156286,120.946886
1.040000,405.519832,121.655950
1.045000,433.064449,129.919335
1.050000,442.225069,132.667521
1.055000,424.602212,127.380664
1.060000,437.480809,131.244243
1.065000,437.461648,131.238494
1.070000,425.146358,127.543907
1.075000,431.866102,129.559830
1.080000,432.113589,129.634077
1.085000,405.319551,121.595865
1.090000,388.346941,116.504082
1.095000,364.815685,109.444705
1.100000,331.467013,99.440104
1.105000,320.640758,96.192227
1.110000,308.972895,92.691869
1.115000,289.103382,86.731015
1.120000,263.714123,79.114237
1.125000,245.944478,73.783343
1.130000,208.244571,62.473371
1.135000,176.366791,52.910037
1.140000,150.177409,45.053223
1.145000,128.479735,38.543920
1.150000,114.755136,34.426541
1.155000,105.473057,31.641917
1.160000,110.925394,33.277618
1.165000,82.799321,24.839796
1.170000,83.400308,25.020092
1.175000,69.915194,20.974558
1.180000,60.155451,18.046635
1.185000,28.515582,8.554675
1.190000,35.276168,10.582850
1.195000,36.557907,10.967372
1.200000,42.143338,12.643001
1.205000,51.424898,15.427469
1.210000,72.064747,21.619424
1.215000,99.004555,29.701366
1.220000,109.331168,32.799350
1.225000,110.982835,33.294850
1.230000,125.239045,37.571713
1.235000,133.767324,40.130197
1.240000,121.625539,36.487662
1.245000,141.439397,42.431819
1.250000,193.981909,58.194573
1.255000,224.158620,67.247586
1.260000,254.389016,76.316705
1.265000,295.943523,88.783057
1.270000,331.129520,99.338856
1.275000,342.095466,102.628640
1.280000,360.614793,108.184438
1.285000,385.913516,115.774055
1.290000,407.655053,122.296516
1.295000,416.292069,124.887621
1.300000,427.829467,128.348840
1.305000,434.542444,130.362733
1.310000,428.893556,128.668067
1.315000,431.787055,129.536116
1.320000,415.827208,124.748163
1.325000,413.010080,123.903024
1.330000,390.962534,117.288760
1.335000,385.190760,115.557228
1.340000,365.359921,109.607976
1.345000,342.117183,102.635155
1.350000,326.857424,98.057227
1.355000,326.564381,97.969314
1.360000,300.286559,90.085968
1.365000,281.682141,84.504642
1.370000,269.681524,80.904457
1.375000,208.969114,62.690734
1.380000,173.255314,51.976594
1.385000,150.829333,45.248800
1.390000,120.456405,36.136922
1.395000,85.102899,25.530870
1.400000,81.661785,24.498536
1.405000,57.886528,17.365958
1.410000,49.690128,14.907038
1.415000,35.933231,10.779969
1.420000,31.395459,9.418638
1.425000,35.522817,10.656845
1.430000,25.242782,7.572835
1.435000,8.452116,2.535635
1.440000,-9.784422,-2.935327
1.445000,4.929262,1.478778
1.450000,5.622483,1.686745
1.455000,25.605087,7.681526
1.460000,45.127344,13.538203
1.465000,74.257263,22.277179
1.470000,79.569354,23.870806
1.475000,88.134950,26.440485
1.480000,99.317848,29.795354
1.485000,116.063409,34.819023
1.490000,150.096706,45.029012
1.495000,176.419061,52.925718
1.500000,201.960123,60.588037
1.505000,222.943186,66.882956
1.510000,241.019651,72.305895
1.515000,264.550038,79.365011
1.520000,285.797300,85.739190
1.525000,306.922235,92.076671
1.530000,327.048009,98.114403
1.535000,339.353802,101.806141
1.540000,339.662593,101.898778
1.545000,353.598051,106.079415
1.550000,358.060684,107.418205
1.555000,364.153463,109.246039
1.560000,373.298402,111.989521
1.565000,373.600811,112.080243
1.570000,349.608296,104.882489
1.575000,343.506061,103.051818
1.580000,328.127912,98.438374
1.585000,323.756276,97.126883
1.590000,300.833395,90.250019
1.595000,299.880694,89.964208
1.600000,293.485639,88.045692
1.605000,275.483011,82.644903
1.610000,239.743953,71.923186
1.615000,222.428188,66.728456
1.620000,191.998136,57.599441
1.625000,145.660006,43.698002
1.630000,125.661597,37.698479
1.635000,120.798380,36.239514
1.640000,92.185832,27.655750
1.645000,66.723435,20.017030
1.650000,43.976363,13.192909
1.655000,22.358778,6.707633
1.660000,-22.065188,-6.619556
1.665000,-44.749611,-13.424883
1.670000,-46.120056,-13.836017
1.675000,-55.381018,-16.614305
1.680000,-56.659745,-16.997924
1.685000,-38.767433,-11.630230
1.690000,-28.967470,-8.690241
1.695000,-32.759410,-9.827823
1.700000,-4.780691,-1.434207
1.705000,-6.887876,-2.066363
1.710000,-12.854582,-3.856374
1.715000,-12.118856,-3.635657
1.720000,-0.144885,-0.043465
1.725000,14.297920,4.289376
1.730000,43.631284,13.089385
1.735000,62.442153,18.732646
1.740000,89.191028,26.757308
1.745000,108.375898,32.512769
1.750000,122.829669,36.848901
1.755000,137.460862,41.238259
1.760000,170.270122,51.081037
1.765000,202.261407,60.678422
1.770000,225.519810,67.655943
1.775000,242.958050,72.887415
1.780000,264.499273,79.349782
1.785000,278.200994,83.460298
1.790000,293.516422,88.054927
1.795000,321.874138,96.562241
1.800000,335.080450,100.524135
1.805000,339.026242,101.707873
1.810000,328.265594,98.479678
1.815000,326.252576,97.875773
1.820000,291.478682,87.443605
1.825000,268.141956,80.442587
1.830000,264.207300,79.262190
1.835000,270.170141,81.051042
1.840000,250.031198,75.009359
1.845000,233.661892,70.098568
1.850000,221.545106,66.463532
1.855000,187.009479,56.102844
1.860000,162.669916,48.800975
1.865000,156.989553,47.096866
1.870000,146.682861,44.004858
1.875000,117.305607,35.191682
1.880000,87.261626,26.178488
1.885000,56.008159,16.802448
1.890000,11.610643,3.483193
1.895000,-23.092815,-6.927844
1.900000,-38.159389,-11.447817
1.905000,-58.375706,-17.512712
1.910000,-67.239743,-20.171923
1.915000,-73.098832,-21.929650
1.920000,-68.315387,-20.494616
1.925000,-83.286520,-24.985956
1.930000,-77.206201,-23.161860
1.935000,-91.299441,-27.389832
1.940000,-103.897908,-31.169373
1.945000,-113.122702,-33.936811
1.950000,-114.458049,-34.337415
1.955000,-121.849979,-36.554994
1.960000,-103.304316,-30.991295
1.965000,-87.920405,-26.376121
1.970000,-67.236569,-20.170971
1.975000,-30.420981,-9.126294
1.980000,-12.471152,-3.741346
1.985000,-3.309286,-0.992786
1.990000,22.579828,6.773948
1.995000,47.732238,14.319672
2.000000,60.850511,18.255153
2.005000,107.103821,32.131146
2.010000,138.825867,41.647760
2.015000,150.704007,45.211202
2.020000,161.954412,48.586324
2.025000,191.735126,57.520538
2.030000,205.685414,61.705624
2.035000,205.130434,61.539130
2.040000,239.516388,71.854916
2.045000,262.987699,78.896310
2.050000,275.684700,82.705410
2.055000,274.305769,82.291731
2.060000,289.442810,86.832843
2.065000,268.818959,80.645688
2.070000,280.359060,84.107718
2.075000,261.146657,78.343997
2.080000,266.862176,80.058653
2.085000,251.148690,75.344607
2.090000,245.914729,73.774419
2.095000,194.269466,58.280840
2.100000,172.479714,51.743914
2.105000,145.672864,43.701859
2.110000,117.348959,35.204688
2.115000,99.974554,29.992366
2.120000,90.625355,27.187607
2.125000,59.531488,17.859447
2.130000,21.851579,6.555474
2.135000,2.799399,0.839820
2.140000,-30.775550,-9.232665
2.145000,-61.194171,-18.358251
2.150000,-81.364565,-24.409370
2.155000,-99.829819,-29.948946
2.160000,-122.246116,-36.673835
2.165000,-147.601043,-44.280313
2.170000,-156.460457,-46.938137
2.175000,-152.679720,-45.803916
2.180000,-169.370084,-50.811025
2.185000,-164.911964,-49.473589
2.190000,-160.423734,-48.127120
2.195000,-165.327032,-49.598110
2.200000,-159.926875,-47.978062
2.205000,-143.192863,-42.957859
2.210000,-119.727133,-35.918140
2.215000,-106.586600,-31.975980
2.220000,-79.058373,-23.717512
2.225000,-68.916739,-20.675022
2.230000,-50.152953,-15.045886
2.235000,-35.258547,-10.577564
2.240000,-6.909807,-2.072942
2.245000,18.967548,5.690265
2.250000,44.955935,13.486780
2.255000,66.859531,20.057859
2.260000,85.513755,25.654127
2.265000,110.566625,33.169987
2.270000,135.654533,40.696360
2.275000,149.518766,44.855630
2.280000,176.782481,53.034744
2.285000,180.566440,54.169932
2.290000,199.684684,59.905405
2.295000,195.033780,58.510134
2.300000,196.657661,58.997298
2.305000,202.333334,60.700000
2.310000,227.700309,68.310093
2.315000,209.901341,62.970402
2.320000,206.319594,61.895878
2.325000,208.206746,62.462024
2.330000,190.037320,57.011196
2.335000,171.776260,51.532878
2.340000,162.408930,48.722679
2.345000,147.817017,44.345105
2.350000,138.756644,41.626993
2.355000,120.231775,36.069533
2.360000,97.632623,29.289787
2.365000,72.143693,21.643108
2.370000,43.267833,12.980350
2.375000,-1.418051,-0.425415
2.380000,-5.809792,-1.742938
2.385000,-36.753883,-11.026165
2.390000,-51.156305,-15.346891
2.395000,-64.661023,-19.398307
2.400000,-70.121206,-21.036362
2.405000,-104.172392,-31.251718
2.410000,-103.734007,-31.120202
2.415000,-128.945513,-38.683654
2.420000,-153.431807,-46.029542
2.425000,-172.217701,-51.665310
2.430000,-189.693089,-56.907927
2.435000,-202.274534,-60.682360
2.440000,-187.533027,-56.259908
2.445000,-179.738299,-53.921490
2.450000,-176.631700,-52.989510
2.455000,-159.647634,-47.894290
2.460000,-142.485020,-42.745506
2.465000,-156.921542,-47.076462
2.470000,-127.894017,-38.368205
2.475000,-106.082801,-31.824840
2.480000,-73.763126,-22.128938
2.485000,-70.826985,-21.248095
2.490000,-26.693468,-8.008041
2.495000,-18.301373,-5.490412
2.500000,7.547923,2.264377
2.505000,35.383676,10.615103
2.510000,75.259016,22.577705
2.515000,98.242576,29.472773
2.520000,126.094554,37.828366
2.525000,140.016427,42.004928
2.530000,145.191430,43.557429
2.535000,155.642043,46.692613
2.540000,173.025766,51.907730
2.545000,191.427141,57.428142
2.550000,206.950140,62.085042
2.555000,215.927088,64.778126
2.560000,219.135163,65.740549
2.565000,230.265025,69.079508
2.570000,242.944843,72.883453
2.575000,244.731338,73.419401
2.580000,230.049818,69.014945
2.585000,217.914690,65.374407
2.590000,188.151978,56.445593
2.595000,150.281609,45.084483
2.600000,131.762634,39.528790
2.605000,108.557486,32.567246
2.610000,91.427979,27.428394
2.615000,71.808728,21.542619
2.620000,55.325381,16.597614
2.625000,29.523250,8.856975
2.630000,7.254202,2.176261
2.635000,-29.570120,-8.871036
2.640000,-54.234081,-16.270224
2.645000,-83.049909,-24.914973
2.650000,-100.611085,-30.183325
2.655000,-113.860229,-34.158069
2.660000,-134.037382,-40.211214
2.665000,-146.024110,-43.807233
2.670000,-164.125558,-49.237667
2.675000,-179.813188,-53.943956
2.680000,-188.007331,-56.402199
2.685000,-196.477529,-58.943259
2.690000,-195.890992,-58.767298
2.695000,-180.390916,-54.117275
2.700000,-170.065764,-51.019729
2.705000,-161.438292,-48.431488
2.710000,-135.293949,-40.588185
2.715000,-128.634391,-38.590317
2.720000,-114.355842,-34.306752
2.725000,-97.699624,-29.309887
2.730000,-71.895025,-21.568508
2.735000,-55.333525,-16.600057
2.740000,-21.259991,-6.377997
2.745000,7.213846,2.164154
2.750000,36.077579,10.823274
2.755000,57.415296,17.224589
2.760000,96.666079,28.999824
2.765000,105.888527,31.766558
2.770000,131.698631,39.509589
2.775000,156.537462,46.961239
2.780000,182.235453,54.670636
2.785000,198.650643,59.595193
2.790000,222.084576,66.625373
2.795000,229.017538,68.705261
2.800000,242.017094,72.605128
2.805000,250.051841,75.015552
2.810000,252.406381,75.721914
2.815000,246.149307,73.844792
2.820000,250.017356,75.005207
2.825000,248.676456,74.602937
2.830000,244.717488,73.415246
2.835000,233.498314,70.049494
2.840000,219.060443,65.718133
2.845000,205.784954,61.735486
2.850000,176.587738,52.976321
2.855000,127.741276,38.322383
2.860000,106.867829,32.060349
2.865000,84.218991,25.265697
2.870000,42.358052,12.707416
2.875000,14.120216,4.236065
2.880000,20.233006,6.069902
2.885000,-9.676157,-2.902847
2.890000,-18.703220,-5.610966
2.895000,-16.311306,-4.893392
2.900000,-18.915405,-5.674621
2.905000,-48.497254,-14.549176
2.910000,-63.870108,-19.161032
2.915000,-90.094531,-27.028359
2.920000,-120.932794,-36.279838
2.925000,-138.719597,-41.615879
2.930000,-140.157192,-42.047158
2.935000,-139.667790,-41.900337
2.940000,-120.791915,-36.237575
2.945000,-117.429605,-35.228881
2.950000,-114.190118,-34.257035
2.955000,-101.408260,-30.422478
2.960000,-84.658332,-25.397500
2.965000,-68.420505,-20.526151
2.970000,-40.999612,-12.299884
2.975000,-22.794549,-6.838365
2.980000,-3.654674,-1.096402
2.985000,7.269772,2.180932
2.990000,10.372522,3.111757
2.995000,37.418548,11.225564
3.000000,65.431123,19.629337
3.005000,90.985605,27.295681
3.010000,111.020501,33.306150
3.015000,146.032578,43.809773
3.020000,160.250571,48.075171
3.025000,175.926648,52.777995
3.030000,175.719810,52.715943
3.035000,204.769480,61.430844
3.040000,230.591402,69.177421
3.045000,251.503303,75.450991
3.050000,263.826069,79.147821
3.055000,288.969503,86.690851
3.060000,301.832301,90.549690
3.065000,273.557290,82.067187
3.070000,267.357050,80.207115
3.075000,271.261084,81.378325
3.080000,268.593223,80.577967
3.085000,265.051732,79.515519
3.090000,282.464206,84.739262
3.095000,269.784195,80.935259
3.100000,249.523082,74.856925
3.105000,230.180890,69.054267
3.110000,190.564645,57.169393
3.115000,158.310234,47.493070
3.120000,139.426969,41.828091
3.125000,128.646904,38.594071
3.130000,97.057463,29.117239
3.135000,77.364436,23.209331
3.140000,56.441635,16.932491
3.145000,38.270114,11.481034
3.150000,2.224020,0.667206
3.155000,-3.033440,-0.910032
3.160000,-26.503303,-7.950991
3.165000,-43.269533,-12.980860
3.170000,-66.624146,-19.987244
3.175000,-68.256094,-20.476828
3.180000,-76.812502,-23.043751
3.185000,-83.217129,-24.965139
3.190000,-87.961273,-26.388382
3.195000,-79.441884,-23.832565
3.200000,-83.663232,-25.098970
3.205000,-93.862093,-28.158628
3.210000,-60.279569,-18.083871
3.215000,-33.142171,-9.942651
3.220000,-13.594225,-4.078268
3.225000,8.330507,2.499152
3.230000,51.056291,15.316887
3.235000,64.665198,19.399559
3.240000,94.484420,28.345326
3.245000,109.031441,32.709432
3.250000,132.184769,39.655431
3.255000,151.775080,45.532524
3.260000,173.866869,52.160061
3.265000,195.506831,58.652049
3.270000,228.728951,68.618685
3.275000,250.508122,75.152437
3.280000,269.930824,80.979247
3.285000,291.058268,87.317480
3.290000,308.871010,92.661303
3.295000,314.957330,94.487199
3.300000,329.201998,98.760599
3.305000,345.684175,103.705253
3.310000,370.680668,111.204200
3.315000,380.476172,114.142852
3.320000,384.024950,115.207485
3.325000,384.173759,115.252128
3.330000,378.636541,113.590962
3.335000,348.763458,104.629037
3.340000,311.328593,93.398578
3.345000,295.695387,88.708616
3.350000,279.334878,83.800463
3.355000,240.357928,72.107378
3.360000,206.587529,61.976259
3.365000,180.146813,54.044044
3.370000,160.992536,48.297761
3.375000,127.374631,38.212389
3.380000,108.937457,32.681237
3.385000,100.262561,30.078768
3.390000,93.947670,28.184301
3.395000,64.343132,19.302940
3.400000,54.316261,16.294878
3.405000,30.095555,9.028666
3.410000,9.428081,2.828424
3.415000,-17.364907,-5.209472
3.420000,-16.614607,-4.984382
3.425000,-28.951859,-8.685558
3.430000,-32.878783,-9.863635
3.435000,-34.840673,-10.452202
3.440000,-27.309938,-8.192981
3.445000,-26.504913,-7.951474
3.450000,-31.702308,-9.510692
3.455000,-23.737045,-7.121113
3.460000,-10.742969,-3.222891
3.465000,27.149855,8.144956
3.470000,47.479350,14.243805
3.475000,79.797475,23.939243
3.480000,116.086900,34.826070
3.485000,159.383629,47.815089
3.490000,162.225715,48.667714
3.495000,177.400756,53.220227
3.500000,214.131816,64.239545
3.505000,238.529826,71.558948
3.510000,253.182900,75.954870
3.515000,275.941089,82.782327
3.520000,318.055349,95.416605
3.525000,344.302673,103.290802
3.530000,365.285285,109.585586
3.535000,383.634367,115.090310
3.540000,387.293242,116.187973
3.545000,390.145319,117.043596
3.550000,385.201674,115.560502
3.555000,391.427308,117.428192
3.560000,395.592059,118.677618
3.565000,410.106894,123.032068
3.570000,389.356039,116.806812
3.575000,388.623733,116.587120
3.580000,370.988810,111.296643
3.585000,351.796263,105.538879
3.590000,335.931219,100.779366
3.595000,330.527931,99.158379
3.600000,290.750029,87.225009
3.605000,286.198857,85.859657
3.610000,269.124629,80.737389
3.615000,259.942933,77.982880
3.620000,254.815498,76.444649
3.625000,249.372847,74.811854
3.630000,201.112648,60.333794
3.635000,168.219313,50.465794
3.640000,126.736070,38.020821
3.645000,85.100810,25.530243
3.650000,65.289321,19.586796
3.655000,45.271339,13.581402
3.660000,38.895332,11.668600
3.665000,22.624945,6.787483
3.670000,17.832966,5.349890
3.675000,7.981569,2.394471
3.680000,16.145079,4.843524
3.685000,10.567764,3.170329
3.690000,19.220562,5.766169
3.695000,15.971295,4.791389
3.700000,10.506134,3.151840
3.705000,22.892078,6.867624
3.710000,51.201666,15.360500
3.715000,86.980988,26.094296
3.720000,120.495704,36.148711
3.725000,159.796616,47.938985
3.730000,176.661013,52.998304
3.735000,196.990230,59.097069
3.740000,205.402518,61.620755
3.745000,219.759245,65.927773
3.750000,237.653137,71.295941
3.755000,269.663259,80.898978
3.760000,280.099195,84.029758
3.765000,304.545544,91.363663
3.770000,319.918485,95.975546
3.775000,341.230398,102.369119
3.780000,378.848731,113.654619
3.785000,399.716181,119.914854
3.790000,413.981327,124.194398
3.795000,439.750094,131.925028
3.800000,458.375276,137.512583
3.805000,438.183613,131.455084
3.810000,440.939506,132.281852
3.815000,450.895174,135.268552
3.820000,446.338759,133.901628
3.825000,436.086581,130.825974
3.830000,448.857768,134.657330
3.835000,433.659234,130.097770
3.840000,412.869618,123.860886
3.845000,390.006080,117.001824
3.850000,382.240642,114.672193
3.855000,333.618586,100.085576
3.860000,311.576222,93.472867
3.865000,283.407551,85.022265
3.870000,268.809509,80.642853
3.875000,237.266068,71.179820
3.880000,239.562238,71.868671
3.885000,208.237016,62.471105
3.890000,195.155186,58.546556
3.895000,165.333610,49.600083
3.900000,134.501602,40.350481
3.905000,108.844397,32.653319
3.910000,97.413100,29.223930
3.915000,60.552404,18.165721
3.920000,48.348936,14.504681
3.925000,32.948216,9.884465
3.930000,17.686961,5.306088
3.935000,25.355770,7.606731
3.940000,44.940566,13.482170
3.945000,64.209195,19.262758
3.950000,81.294319,24.388296
3.955000,83.909151,25.172745
3.960000,87.422208,26.226662
3.965000,92.758656,27.827597
3.970000,87.928772,26.378632
3.975000,112.766068,33.829820
3.980000,141.471957,42.441587
3.985000,154.812347,46.443704
3.990000,192.004469,57.601341
3.995000,225.891648,67.767494
4.000000,250.684609,75.205383
4.005000,282.103303,84.630991
4.010000,327.981102,98.394331
4.015000,346.920853,104.076256
4.020000,380.741534,114.222460
4.025000,402.796583,120.838975
4.030000,424.733011,127.419903
4.035000,440.434917,132.130475
4.040000,443.513250,133.053975
4.045000,444.668661,133.400598
4.050000,448.692071,134.607621
4.055000,453.703560,136.111068
4.060000,442.934053,132.880216
4.065000,467.880714,140.364214
4.070000,467.095191,140.128557
4.075000,453.432730,136.029819
4.080000,429.044562,128.713369
4.085000,425.742669,127.722801
4.090000,397.357554,119.207266
4.095000,373.740477,112.122143
4.100000,364.962591,109.488777
4.105000,352.434424,105.730327
4.110000,336.498036,100.949411
4.115000,307.647445,92.294233
4.120000,288.519114,86.555734
4.125000,270.640317,81.192095
4.130000,271.359848,81.407954
4.135000,234.286893,70.286068
4.140000,212.542379,63.762714
4.145000,183.457372,55.037212
4.150000,160.735821,48.220746
4.155000,111.655502,33.496651
4.160000,98.668105,29.600431
4.165000,87.393303,26.217991
4.170000,74.180958,22.254287
4.175000,50.989403,15.296821
4.180000,50.099974,15.029992
4.185000,33.989664,10.196899
4.190000,22.618247,6.785474
4.195000,30.236248,9.070874
4.200000,45.261146,13.578344
4.205000,56.749609,17.024883
4.210000,71.374243,21.412273
4.215000,93.893128,28.167938
4.220000,120.669927,36.200978
4.225000,143.164570,42.949371
4.230000,165.097580,49.529274
4.235000,194.776210,58.432863
4.240000,227.272608,68.181782
4.245000,240.763892,72.229168
4.250000,251.857971,75.557391
4.255000,270.954926,81.286478
4.260000,314.119282,94.235785
4.265000,334.514734,100.354420
4.270000,370.932299,111.279690
4.275000,397.433786,119.230136
4.280000,430.474279,129.142284
4.285000,431.023733,129.307120
4.290000,442.510436,132.753131
4.295000,464.961340,139.488402
4.300000,483.903017,145.170905
4.305000,478.348187,143.504456
4.310000,485.332844,145.599853
4.315000,488.895059,146.668518
4.320000,475.222787,142.566836
4.325000,458.598933,137.579680
4.330000,439.094210,131.728263
4.335000,425.088004,127.526401
4.340000,407.480438,122.244131
4.345000,381.111832,114.333550
4.350000,375.827964,112.748389
4.355000,370.697585,111.209276
4.360000,356.314125,106.894237
4.365000,323.087132,96.926140
4.370000,304.064721,91.219416
4.375000,284.806437,85.441931
4.380000,262.951846,78.885554
4.385000,233.358094,70.007428
4.390000,219.054676,65.716403
4.395000,203.215749,60.964725
4.400000,157.345507,47.203652
4.405000,130.434683,39.130405
4.410000,114.398709,34.319613
4.415000,103.850357,31.155107
4.420000,73.439739,22.031922
4.425000,73.545371,22.063611
4.430000,65.430753,19.629226
4.435000,59.021674,17.706502
4.440000,51.460318,15.438095
4.445000,48.412196,14.523659
4.450000,51.459747,15.437924
4.455000,69.365932,20.809780
4.460000,72.176428,21.652928
4.465000,85.468878,25.640663
4.470000,116.505592,34.951678
4.475000,126.851484,38.055445
4.480000,141.876319,42.562896
4.485000,163.223022,48.966907
4.490000,197.472708,59.241812
4.495000,234.676603,70.402981
4.500000,283.819765,85.145929
4.505000,305.002788,91.500836
4.510000,343.399115,103.019735
4.515000,358.490847,107.547254
4.520000,362.836366,108.850910
4.525000,379.543732,113.863120
4.530000,389.384830,116.815449
4.535000,408.379284,122.513785
4.540000,421.054702,126.316411
4.545000,442.870150,132.861045
4.550000,440.487936,132.146381
